Sample	Engine	FDR	Accepted
MKK18	COMBINED	0.423	7641
MKK18	COMBINED	0.424	7659
MKK18	COMBINED	0.425	7667
MKK18	COMBINED	0.426	7671
MKK18	COMBINED	0.427	7671
MKK18	COMBINED	0.428	7671
MKK18	COMBINED	0.429	7924
MKK18	COMBINED	0.43	7924
MKK18	COMBINED	0.431	7924
MKK18	COMBINED	0.432	7928
MKK18	COMBINED	0.433	7928
MKK18	COMBINED	0.434	7931
MKK18	COMBINED	0.435	7939
MKK18	COMBINED	0.436	7939
MKK18	COMBINED	0.437	7957
MKK18	COMBINED	0.438	7993
MKK18	COMBINED	0.439	7993
MKK18	COMBINED	0.44	8039
MKK18	COMBINED	0.441	8039
MKK18	COMBINED	0.442	8054
MKK18	COMBINED	0.443	8054
MKK18	COMBINED	0.444	8054
MKK18	COMBINED	0.445	8195
MKK18	COMBINED	0.446	8195
MKK18	COMBINED	0.447	8195
MKK18	COMBINED	0.448	8195
MKK18	COMBINED	0.449	8212
MKK18	COMBINED	0.45	8237
MKK18	COMBINED	0.451	8251
MKK18	COMBINED	0.452	8254
MKK18	COMBINED	0.453	8263
MKK18	COMBINED	0.454	8263
MKK18	COMBINED	0.455	8397
MKK18	COMBINED	0.456	8397
MKK18	COMBINED	0.457	8397
MKK18	COMBINED	0.458	8398
MKK18	COMBINED	0.459	8431
MKK18	COMBINED	0.46	8442
MKK18	COMBINED	0.461	8442
MKK18	COMBINED	0.462	8501
MKK18	COMBINED	0.463	8507
MKK18	COMBINED	0.464	8507
MKK18	COMBINED	0.465	8511
MKK18	COMBINED	0.466	8511
MKK18	COMBINED	0.467	8544
MKK18	COMBINED	0.468	8544
MKK18	COMBINED	0.469	8547
MKK18	COMBINED	0.47	8547
MKK18	COMBINED	0.471	8585
MKK18	COMBINED	0.472	8585
MKK18	COMBINED	0.473	8598
MKK18	COMBINED	0.474	8665
MKK18	COMBINED	0.475	8672
MKK18	COMBINED	0.476	8678
MKK18	COMBINED	0.477	8733
MKK18	COMBINED	0.478	8751
MKK18	COMBINED	0.479	8765
MKK18	COMBINED	0.48	8780
MKK18	COMBINED	0.481	8780
MKK18	COMBINED	0.482	8800
MKK18	COMBINED	0.483	8818
MKK18	COMBINED	0.484	8832
MKK18	COMBINED	0.485	8845
MKK18	COMBINED	0.486	8849
MKK18	COMBINED	0.487	8853
MKK18	COMBINED	0.488	8858
MKK18	COMBINED	0.489	8869
MKK18	COMBINED	0.49	8896
MKK18	COMBINED	0.491	8902
MKK18	COMBINED	0.492	8902
MKK18	COMBINED	0.493	8919
MKK18	COMBINED	0.494	8919
MKK18	COMBINED	0.495	8919
MKK18	COMBINED	0.496	8919
MKK18	COMBINED	0.497	8919
MKK18	COMBINED	0.498	8919
MKK18	COMBINED	0.499	8919
MKK18	COMBINED	0.5	10020
